sentence1,sentence2,label,idx
"Amrozi accused his brother , whom he called "" the witness "" , of deliberately distorting his evidence .","Referring to him as only "" the witness "" , Amrozi accused his brother of deliberately distorting his evidence .",1,0
Yucaipa owned Dominick 's before selling the chain to Safeway in 1998 for $ 2.5 billion .,Yucaipa bought Dominick 's in 1995 for $ 693 million and sold it to Safeway for $ 1.8 billion in 1998 .,0,1
"They had published an advertisement on the Internet on June 10 , offering the cargo for sale , he added .","On June 10 , the ship 's owners had published an advertisement on the Internet , offering the explosives for sale .",1,2
"Around 0335 GMT , Tab shares were up 19 cents , or 4.4 % , at A $ 4.56 , having earlier set a record high of A $ 4.57 .","Tab shares jumped 20 cents , or 4.6 % , to set a record closing high at A $ 4.57 .",0,3
"The stock rose $ 2.11 , or about 11 percent , to close Friday at $ 21.51 on the New York Stock Exchange .",PG & E Corp. shares jumped $ 1.63 or 8 percent to $ 21.03 on the New York Stock Exchange on Friday .,1,4
Revenue in the first quarter of the year dropped 15 percent from the same period a year earlier .,"With the scandal hanging over Stewart 's company , revenue the first quarter of the year dropped 15 percent from the same period a year earlier .",1,5
"The Nasdaq had a weekly gain of 17.27 , or 1.2 percent , closing at 1,520.15 on Friday .","The tech-laced Nasdaq Composite .IXIC rallied 30.46 points , or 2.04 percent , to 1,520.15 .",0,6
The DVD-CCA then appealed to the state Supreme Court .,The DVD CCA appealed that decision to the U.S. Supreme Court .,1,7
"That compared with $ 35.18 million , or 24 cents per share , in the year-ago period .",Earnings were affected by a non-recurring $ 8 million tax benefit in the year-ago period .,0,8
"Shares of Genentech , a much larger company with several products on the market , rose more than 2 percent .","Shares of Xoma fell 16 percent in early trade , while shares of Genentech , a much larger company with several products on the market , were up 2 percent .",0,10
Legislation making it harder for consumers to erase their debts in bankruptcy court won overwhelming House approval in March .,"Legislation making it harder for consumers to erase their debts in bankruptcy court won speedy , House approval in March and was endorsed by the White House .",0,11
"The Nasdaq composite index increased 10.73 , or 0.7 percent , to 1,514.77 .","The Nasdaq Composite index , full of technology stocks , was lately up around 18 points .",0,12
But he added group performance would improve in the second half of the year and beyond .,De Sole said in the results statement that group performance would improve in the second half of the year and beyond .,1,13
He told The Sun newspaper that Mr. Hussein 's daughters had British schools and hospitals in mind when they decided to ask for asylum .,""" Saddam 's daughters had British schools and hospitals in mind when they decided to ask for asylum -- especially the schools , "" he told The Sun .",1,14
"Gyorgy Heizler , head of the local disaster unit , said the coach was carrying 38 passengers .","The head of the local disaster unit , Gyorgy Heizler , said the coach driver had failed to heed red stop lights .",0,15
Rudder was most recently senior vice president for the Developer & Platform Evangelism Business .,"Senior Vice President Eric Rudder , formerly head of the Developer and Platform Evangelism unit , will lead the new entity .",0,16
"As well as the dolphin scheme , the chaos has allowed foreign companies to engage in damaging logging and fishing operations without proper monitoring or export controls .",Internal chaos has allowed foreign companies to set up damaging commercial logging and fishing operations without proper monitoring or export controls .,0,17
"Sheena Young of Child , the national infertility support network , hoped the guidelines would lead to a more "" fair and equitable "" service for infertility sufferers .","Sheena Young , a spokesman for Child , the national infertility support network , said the proposed guidelines should lead to a more "" fair and equitable "" service for infertility sufferers .",1,19
""" I think you 'll see a lot of job growth in the next two years , "" he said , adding the growth could replace jobs lost .",""" I think you 'll see a lot of job growth in the next two years , "" said Mankiw .",0,20
"The new Finder puts a user 's folders , hard drive , network servers , iDisk and removable media in one location , providing one-click access .","Panther 's redesigned Finder navigation tool puts a user 's favourite folders , hard drive , network servers , iDisk and removable media in one location .",1,21
"But tropical storm warnings and watches were posted today for Haiti , western portions of the Dominican Republic , the southeastern Bahamas and the Turk and Caicos islands .","Tropical storm warnings were in place Thursday for Jamaica and Haiti and watches for the western Dominican Republic , the southeastern Bahamas and the Turks and Caicos islands .",1,22
A federal magistrate in Fort Lauderdale ordered him held without bail .,"Zuccarini was ordered held without bail Wednesday by a federal judge in Fort Lauderdale , Fla .",1,23
A BMI of 25 or above is considered overweight ; 30 or above is considered obese .,"A BMI between 18.5 and 24.9 is considered normal , over 25 is considered overweight and 30 or greater is defined as obese .",0,24
